TimeStep,Elapsed_us,L_Gait_Index,R_Gait_Index,RH_0,RH_1,RH_2,RH_3,RH_4,RH_5,RH_6,RH_7,RK_0,RK_1,RK_2,RK_3,RK_4,RK_5,RK_6,RK_7,LK_0,LK_1,LK_2,LK_3,LK_4,LK_5,LK_6,LK_7,LH_0,LH_1,LH_2,LH_3,LH_4,LH_5,LH_6,LH_7
0,719773,1,51,0,30,255,173,0,231,25,0,0,130,0,105,1,1,23,0,0,16,255,249,0,8,23,0,255,223,255,214,0,132,24,0
5,925931,6,56,255,230,0,1,0,41,25,0,0,224,1,6,0,90,23,0,0,16,0,36,0,34,23,0,255,255,0,4,3,247,24,0
10,1131931,11,61,255,230,0,1,0,41,25,0,0,224,1,6,0,90,23,0,0,25,0,7,1,213,23,0,255,194,255,104,2,111,24,0
15,1337931,16,66,255,230,0,1,0,41,25,0,0,224,1,6,0,90,23,0,0,21,255,235,0,80,23,0,255,106,255,194,0,18,24,0
20,1543931,21,71,0,50,0,76,1,53,25,0,0,151,255,255,0,145,23,0,255,191,255,39,255,233,23,0,255,121,0,111,0,91,24,0
25,1749931,26,76,0,62,0,81,1,33,25,0,0,151,255,255,0,145,23,0,255,4,255,32,0,232,23,0,255,212,0,165,0,5,24,0
30,1955931,31,81,0,62,0,81,1,33,25,0,0,151,255,255,0,145,23,0,254,163,255,155,1,159,23,0,0,84,0,197,255,82,24,0
35,2162147,36,86,0,171,0,17,3,135,25,0,0,190,0,35,1,106,23,0,254,119,0,0,1,127,23,0,0,194,0,98,255,128,24,0
40,2367931,41,91,0,189,0,28,3,150,25,0,0,190,0,35,1,106,23,0,254,153,0,165,255,60,23,0,0,244,0,2,0,201,24,0
45,2573932,46,96,0,189,0,28,3,150,25,0,0,190,0,35,1,106,23,0,255,0,0,181,0,80,23,0,0,211,255,191,2,67,24,0
